지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),지면온도(°C)
155,2015-01-01 01:00,-.3,,2.7,320,41,,,,,-2.6
155,2015-01-01 02:00,-.5,,3.4,290,33,,,,,-2.7
155,2015-01-01 03:00,-1,0,2.7,290,33,,,,,-3.6
155,2015-01-01 04:00,-2.2,,2.9,200,46,,,,,-3.7
155,2015-01-01 05:00,-2.9,,2,290,40,,,,,-5.1
155,2015-01-01 06:00,-3.4,,3.5,290,30,,,,,-5.8
155,2015-01-01 07:00,-4.2,,1.8,270,37,,,,,-6.2
155,2015-01-01 08:00,-3.9,,4,290,33,.1,,,,-6
155,2015-01-01 09:00,-3.4,,3.5,270,33,,,,,-3.4
155,2015-01-01 10:00,-2.3,,3.8,270,32,,,,,-.7
155,2015-01-01 11:00,-1.5,,4.4,,26,,,,,.9
155,2015-01-01 12:00,-1.1,,5.2,290,19,,,,,3.2
155,2015-01-01 13:00,.6,,2.9,270,21,,,,,5.4
155,2015-01-01 14:00,.3,,3.2,320,17,,,,,5.9
155,2015-01-01 15:00,.6,,4.3,290,17,,,,,4.1
155,2015-01-01 16:00,.5,,3.8,290,19,,,,,.1
155,2015-01-01 17:00,.1,,1.6,320,22,.7,,,,-.7
155,2015-01-01 18:00,-.5,,1.6,270,23,0,,,,-2.1
155,2015-01-01 19:00,-1.1,,1.2,250,26,,,,,-3.3
155,2015-01-01 20:00,-1.5,,2,290,29,,,,,-3.9
155,2015-01-01 21:00,-2,,.9,320,32,,,,,-4.8
155,2015-01-01 22:00,-2.9,,1,340,36,,,,,-5.2
155,2015-01-01 23:00,-2.6,,2.4,340,37,,,,,-5.4
155,2015-01-02 00:00,-3.1,,1.2,270,43,,,,,-5.9
155,2015-01-02 01:00,-3.5,,2.6,20,45,,,,,-5.5
155,2015-01-02 02:00,-3.6,,2.8,50,48,,,,,-5.6
155,2015-01-02 03:00,-3.9,,1.6,,51,,,,,-5.2
155,2015-01-02 04:00,-3.9,,1.2,250,49,,,,,-4.5
