,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
0,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_1,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
1,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_2,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
2,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_3,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
3,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_4,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
4,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_5,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
5,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_6,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
6,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_7,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,41.0,시설물관리 및 방범,30,2018-06,055-712-0174,35.216826,128.705125,2018-08-17
7,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_1,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,10.0,시설물관리 및 방범,30,2009-03,055-712-0174,35.216826,128.705125,2018-08-17
8,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_2,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,10.0,시설물관리 및 방범,30,2009-03,055-712-0174,35.216826,128.705125,2018-08-17
9,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_3,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,10.0,시설물관리 및 방범,30,2009-03,055-712-0174,35.216826,128.705125,2018-08-17
10,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_4,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,10.0,시설물관리 및 방범,30,2009-03,055-712-0174,35.216826,128.705125,2018-08-17
11,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_5,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,10.0,시설물관리 및 방범,30,2009-03,055-712-0174,35.216826,128.705125,2018-08-17
12,창원시설공단,경상남도 창원시 성산구 창이대로 781 대방동_6,경상남도 창원시 성산구 창이대로 781 대방동,생활방범,1,10.0,시설물관리 및 방범,30,2009-03,055-712-0174,35.216826,128.705125,2018-08-17
