년도,지역,상세지역,성별,연령대,분야,건수
2019,경상남도,경상남도 거제시,남,10,교통 분야,2
2019,경상남도,경상남도 거제시,남,10,도로 분야,2
2019,경상남도,경상남도 거제시,남,20,교통 분야,8
2019,경상남도,경상남도 거제시,남,20,도로 분야,3
2019,경상남도,경상남도 거제시,남,30,교통 분야,28
2019,경상남도,경상남도 거제시,남,30,도로 분야,15
2019,경상남도,경상남도 거제시,남,40,교통 분야,21
2019,경상남도,경상남도 거제시,남,40,도로 분야,28
2019,경상남도,경상남도 거제시,남,50,교통 분야,8
2019,경상남도,경상남도 거제시,남,50,도로 분야,21
2019,경상남도,경상남도 거제시,남,60,교통 분야,3
2019,경상남도,경상남도 거제시,남,60,도로 분야,5
2019,경상남도,경상남도 거제시,여,10,교통 분야,2
2019,경상남도,경상남도 거제시,여,10,도로 분야,1
2019,경상남도,경상남도 거제시,여,20,교통 분야,7
2019,경상남도,경상남도 거제시,여,20,도로 분야,3
2019,경상남도,경상남도 거제시,여,30,교통 분야,15
2019,경상남도,경상남도 거제시,여,30,도로 분야,11
2019,경상남도,경상남도 거제시,여,40,교통 분야,14
2019,경상남도,경상남도 거제시,여,40,도로 분야,11
2019,경상남도,경상남도 거제시,여,50,교통 분야,6
2019,경상남도,경상남도 거제시,여,50,도로 분야,9
2019,경상남도,경상남도 거제시,여,70,교통 분야,1
2019,경상남도,경상남도 거창군,남,20,교통 분야,2
2019,경상남도,경상남도 거창군,남,20,도로 분야,3
2019,경상남도,경상남도 거창군,남,30,교통 분야,3
2019,경상남도,경상남도 거창군,남,30,도로 분야,1
2019,경상남도,경상남도 거창군,남,40,교통 분야,6
2019,경상남도,경상남도 거창군,남,40,도로 분야,9
2019,경상남도,경상남도 거창군,남,50,도로 분야,4
2019,경상남도,경상남도 거창군,남,60,교통 분야,1
2019,경상남도,경상남도 거창군,남,60,도로 분야,2
2019,경상남도,경상남도 거창군,여,10,도로 분야,1
2019,경상남도,경상남도 거창군,여,20,교통 분야,2
2019,경상남도,경상남도 거창군,여,30,교통 분야,4
2019,경상남도,경상남도 거창군,여,30,도로 분야,2
2019,경상남도,경상남도 거창군,여,40,교통 분야,2
2019,경상남도,경상남도 거창군,여,40,도로 분야,2
2019,경상남도,경상남도 고성군,남,30,교통 분야,1
2019,경상남도,경상남도 고성군,남,30,도로 분야,3
2019,경상남도,경상남도 고성군,남,40,교통 분야,2
2019,경상남도,경상남도 고성군,남,40,도로 분야,7
2019,경상남도,경상남도 고성군,남,50,교통 분야,5
2019,경상남도,경상남도 고성군,남,50,도로 분야,4
2019,경상남도,경상남도 고성군,남,60,도로 분야,1
2019,경상남도,경상남도 고성군,여,20,교통 분야,1
2019,경상남도,경상남도 고성군,여,40,도로 분야,2
2019,경상남도,경상남도 김해시,남,10,교통 분야,1
2019,경상남도,경상남도 김해시,남,20,교통 분야,39
2019,경상남도,경상남도 김해시,남,20,도로 분야,18
2019,경상남도,경상남도 김해시,남,30,교통 분야,50
2019,경상남도,경상남도 김해시,남,30,도로 분야,46
2019,경상남도,경상남도 김해시,남,40,교통 분야,54
2019,경상남도,경상남도 김해시,남,40,도로 분야,48
2019,경상남도,경상남도 김해시,남,50,교통 분야,29
2019,경상남도,경상남도 김해시,남,50,도로 분야,30
2019,경상남도,경상남도 김해시,남,60,교통 분야,20
2019,경상남도,경상남도 김해시,남,60,도로 분야,14
2019,경상남도,경상남도 김해시,여,10,교통 분야,6
2019,경상남도,경상남도 김해시,여,10,도로 분야,2
2019,경상남도,경상남도 김해시,여,20,교통 분야,35
2019,경상남도,경상남도 김해시,여,20,도로 분야,17
2019,경상남도,경상남도 김해시,여,30,교통 분야,37
2019,경상남도,경상남도 김해시,여,30,도로 분야,24
2019,경상남도,경상남도 김해시,여,40,교통 분야,36
2019,경상남도,경상남도 김해시,여,40,도로 분야,16
2019,경상남도,경상남도 김해시,여,50,교통 분야,4
2019,경상남도,경상남도 김해시,여,50,도로 분야,10
2019,경상남도,경상남도 김해시,여,60,교통 분야,2
2019,경상남도,경상남도 남해군,남,20,도로 분야,2
2019,경상남도,경상남도 남해군,남,30,교통 분야,1
2019,경상남도,경상남도 남해군,남,30,도로 분야,2
2019,경상남도,경상남도 남해군,남,40,교통 분야,4
2019,경상남도,경상남도 남해군,남,40,도로 분야,7
2019,경상남도,경상남도 남해군,남,50,교통 분야,1
