"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
418-1-000011,중원 화천동,공영,노상,경상남도 창원시 진해구 중원동로 75 일원,경상남도 창원시 진해구 중원동로 75 일원,86,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,,,,현금,,경상남도 창원시청,055-548-4434,35.15120000,128.66173900,2018-06-30
418-1-000003,중원로타리 ~ 남산초등교,공영,노상,경상남도 창원시 진해구 백구로 40 일원,경상남도 창원시 진해구 백구로 40 일원,66,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.14862900,128.66043400,2018-06-30
418-1-000002,중원로타리 ~ 신흥동apt,공영,노상,경상남도 창원시 진해구 벚꽃로 13 일원,경상남도 창원시 진해구 벚꽃로 13 일원,5,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.14873100,128.65831700,2018-06-30
418-1-000014,석동사거리,공영,노상,경상남도 창원시 진해구 석동 274 일원,경상남도 창원시 진해구 석동 274 일원,42,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,,,,현금,,경상남도 창원시청,055-548-4434,35.15187500,128.70352700,2018-06-30
418-1-000007,진해여중고 앞,공영,노상,경상남도 창원시 진해구 여좌남로 25 일원,경상남도 창원시 진해구 여좌남로 25 일원,60,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.15493100,128.65865200,2018-06-30
418-1-000008,인사동해군아파트 (제황공원),공영,노상,경상남도 창원시 진해구 제황로 55,경상남도 창원시 진해구 제황로 55,10,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.14915800,128.66742900,2018-06-30
418-1-000004,구 시청 앞 ~ 인의동,공영,노상,경상남도 창원시 진해구 중원동로 27 일원,경상남도 창원시 진해구 중원동로 27 일원,140,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.14700300,128.66095900,2018-06-30
418-1-000006,인본약국 앞,공영,노상,경상남도 창원시 진해구 중원로86번길 15 일원,경상남도 창원시 진해구 중원로86번길 15 일원,62,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.15168600,128.66180900,2018-06-30
418-1-000009,복개천노상주차장,공영,노상,경상남도 창원시 진해구 중원서로 83 일원,경상남도 창원시 진해구 중원서로 83 일원,127,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.15174600,128.65902100,2018-06-30
418-1-000012,진해루 노상주차장,공영,노상,경상남도 창원시 진해구 진희로 150 일원,경상남도 창원시 진해구 진희로 150 일원,142,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.14717700,128.68491800,2018-06-30
418-1-000005,중원로타리 ~ 진해역,공영,노상,경상남도 창원시 진해구 충장로168번길 3 일원,경상남도 창원시 진해구 충장로168번길 3 일원,80,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.15143900,128.67066400,2018-06-30
418-1-000010,태백동 테니스장 옆,공영,노상,경상남도 창원시 진해구 태백동 4-41,경상남도 창원시 진해구 태백동 4-41,12,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.15768700,128.67368900,2018-06-30
418-1-000001,중원로타리 ~ 탑산입구,공영,노상,경상남도 창원시 진해구 통신동 9 일원,경상남도 창원시 진해구 통신동 9 일원,20,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.14924200,128.66042800,2018-06-30
418-1-000013,남흥아파트 주변,공영,노상,경상남도 창원시 진해구 해원로 3 일원,경상남도 창원시 진해구 해원로 3 일원,28,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-548-4434,35.15377300,128.69476300,2018-06-30
416-1-000011,해안로공영주차장,공영,노상,경상남도 창원시 마산합포구 신포동1가 70,경상남도 창원시 마산합포구 신포동1가 70,107,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-220-4436,35.19883200,128.57299700,2018-06-30
416-1-000002,해안로공영유료주차장,공영,노상,경상남도 창원시 마산합포구신포동2가 64-2,경상남도 창원시 마산합포구 신포동2가 64-2,71,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,16,6000,85000,현금,승용차기준,경상남도 창원시청,055-220-4436,35.20108400,128.57449800,2018-06-30
