관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
경상남도 창원시청,경상남도 창원시 의창구  동읍 동읍로 1141(봉강정류소 맞은편),,생활방범,1,,,30,,055-225-3101,35.351198,128.656788,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 자여로 81(농협 자여지점 앞),,생활방범,1,,,30,,055-225-3101,35.276071,128.701775,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 동읍로19번길 2-4(장수마을 오리식당)_1,,생활방범,1,,,30,,055-225-3101,35.279027,128.684194,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 동읍로19번길 2-4(장수마을 오리식당)_2,,생활방범,1,,,30,,055-225-3101,35.279027,128.684194,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용정길46번길 25( 훼미리타운 5차 앞)_1,,생활방범,1,,,30,,055-225-3101,35.276348,128.704962,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용정길46번길 25 (웨리미타운 5차 앞)_2,,생활방범,1,,,30,,055-225-3101,35.276348,128.704962,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용정길46번길 40(성원전원맨션 가동_김밥나라 앞)_1,,생활방범,1,,,30,,055-225-3101,35.274962,128.705334,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용정길46번길 40(성원전원맨션 가동_다복떡방앗간 앞)_2,,생활방범,1,,,30,,055-225-3101,35.274962,128.705334,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용잠리 407-8_(삼구식육식당 앞)_1,,생활방범,1,,,30,,055-225-3101,35.278389,128.684594,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용잠리 407-8_(삼구식육식당 앞)_2,,생활방범,1,,,30,,055-225-3101,35.278389,128.684594,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 석산리 257-4(마룡마을 정류장)_1,,생활방범,1,,,30,,055-225-3101,35.317631,128.661673,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 석산리 257-4(마룡마을 정류장)_2,,생활방범,1,,,30,,055-225-3101,35.317631,128.661673,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 봉산리 268(자여마을 입구)_1,,생활방범,1,,,30,,055-225-3101,35.27916,128.697841,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 봉산리 268(자여마을 입구)_2,,생활방범,1,,,30,,055-225-3101,35.27916,128.697841,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 봉산리 268(자여마을 입구)_3,,생활방범,1,,,30,,055-225-3101,35.27916,128.697841,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 무성리 146(무성마을)_1,,생활방범,1,,,30,,055-225-3101,35.288243,128.698719,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 무성리 146(무성마을)_2,,생활방범,1,,,30,,055-225-3101,35.288243,128.698719,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용잠로 35(장생한의원 앞),,생활방범,1,,,30,,055-225-3101,35.279642,128.687986,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구  동읍 용잠리 253-2(한국법무보호복지공단앞),,생활방범,1,,,30,,055-225-3101,35.278975,128.690725,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 17-2,,생활방범,1,,,30,,055-225-3671,35.299985,128.670563,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 17-2,,생활방범,1,,,30,,055-225-3671,35.299985,128.670563,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 17-2,,생활방범,1,,,30,,055-225-3671,35.299985,128.670563,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 17-2,,생활방범,1,,,30,,055-225-3671,35.299985,128.670563,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 265,,생활방범,1,,,30,,055-225-3671,35.29909,128.673324,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 265,,생활방범,1,,,30,,055-225-3671,35.29909,128.673324,2018-06-30
경상남도 창원시청,경상남도 창원시 의창구 동읍 다호리 265,,생활방범,1,,,30,,055-225-3671,35.29909,128.673324,2018-06-30
