,place1,Freq,,
1,주차,600,,2695
2,주차장,533,,
3,불법주차,454,,
4,불법,335,,
5,주차단속,329,,
6,단속,318,,
7,장애인,197,,
8,차량,168,,
9,구역,167,,
10,공영주차장,160,,
11,아파트,157,,
12,주택,116,,
13,금지,104,,
14,마산,88,,
15,병원,80,,
16,공원,78,,
17,주차위반,78,,
18,주차공간,73,,
19,공용,71,,
20,인도,71,,
21,합성동,71,,
22,상남동,65,,
23,무료,64,,
24,성산구,64,,
25,진해구,63,,
26,주차장소,61,,
27,전용,61,,
28,상가,59,,
29,주차문제,58,,
30,주차요금,55,,
31,버스,53,,
32,입구,53,,
33,도로,52,,
34,도로변,52,,
35,문제,51,,
36,롯데백화점,50,,
37,화물차,47,,
38,장기,46,,
39,불편,45,,
40,주차타워,45,,
41,이중주차,44,,
42,공영,43,,
43,롯데마트,41,,
44,민원,41,,
45,용지동,41,,
46,홈플러스,40,,
47,팔용동,39,,
48,석동,38,,
49,베이피페어,37,,
50,신고,36,,
51,거리,35,,
52,세코,35,,
53,중앙동,35,,
54,밤샘주차,34,,
55,단지,33,,
56,의창구,33,,
57,센터,32,,
58,이용,32,,
59,사거리,31,,
60,성주동,31,,
61,축제,31,,
62,관리,30,,
63,주말,30,,
64,주차난,30,,
65,주차딱지,29,,
66,시티,29,,
67,신호위반,29,,
68,집앞,29,,
69,횡단보도,29,,
70,경화동,28,,
71,무동,28,,
72,문의,28,,
73,삼성,28,,
74,안전,28,,
75,합포동,28,,
76,가로수,27,,
77,개선,27,,
78,견인,27,,
79,골목,27,,
80,대형차량,27,,
81,북면,27,,
82,감계동,26,,
83,구청,26,,
84,김해공항,26,,
85,무단주차,26,,
86,줌마켓,26,,
87,지하,26,,
88,초보운전,26,,
89,상남동,25,,
90,시청,25,,
91,야간,25,,
92,용호동,25,,
93,중앙역,25,,
94,공사,24,,
95,기계,24,,
96,신세계,24,,
97,프리마켓,24,,
98,지하주차장,23,,
99,카메라,23,,
100,공단,22,,
101,시티세븐,22,,
102,용원동,22,,
103,운전,22,,
104,자전거,22,,
105,정류장,22,,
106,중앙,22,,
107,처리,22,,
108,다이소,21,,
109,대형트럭,21,,
110,주민,21,,
111,지역,21,,
112,마산회원구,21,,
113,방법,20,,
114,방지,20,,
115,빌딩,20,,
116,뺑소니,20,,
117,유료,20,,
118,추천,20,,
119,플리마켓,20,,
120,해소,20,,
121,후문,20,,
122,대방동,19,,
123,도서관,19,,
124,마산역,19,,
125,마산합포구,19,,
126,주차시설,19,,
127,경차,18,,
128,사람,18,,
129,성산아트홀,18,,
130,위험,18,,
131,이마트,18,,
132,장미공원,18,,
133,조치,18,,
134,주차대수,18,,
135,건물,17,,
136,골목길,17,,
137,금지구역,17,,
138,대형차,17,,
139,삼계동,17,,
140,초등학교,17,,
141,트럭,17,,
142,건의,16,,
143,궁금,16,,
144,메트로,16,,
145,방해,16,,
146,백화점,16,,
147,산호동,16,,
148,더스퀘어,16,,
149,어린이,16,,
150,임시,16,,
151,진입,16,,
152,확보,16,,
153,국화,15,,
154,군항제,15,,
155,내서동,15,,
156,박람회,15,,
157,사파동,15,,
158,상습,15,,
159,스티커,15,,
160,시설,15,,
161,인근,15,,
162,터미널,15,,
163,한마음병원,15,,
164,용지호수,15,,
165,대방동,14,,
166,대책,14,,
167,대형,14,,
168,마을,14,,
169,부근,14,,
170,안내,14,,
171,양덕동,14,,
172,요금,14,,
173,운영,14,,
174,자리,14,,
175,정문,14,,
176,조리원,14,,
177,창동,14,,
178,통행,14,,
179,기업,13,,
180,대형버스,13,,
181,맞은편,13,,
182,아침,13,,
183,영업,13,,
184,임산부,13,,
185,자동차,13,,
186,철거,13,,
187,표지판,13,,
188,풍호동,13,,
189,과태료,12,,
190,농협,12,,
191,동네,12,,
192,롯데시네마,12,,
193,반지,12,,
194,석전동,12,,
195,쓰레기,12,,
196,주차연습,12,,
197,월주차,12,,
198,유니시티,12,,
199,이동,12,,
200,저녁,12,,
201,점거,12,,
202,파손,12,,
203,한곳,12,,
204,확인,12,,
205,마산회원구,21,,
206,Q상남동,11,,
207,강화,11,,
208,교차로,11,,
209,놀이터,11,,
210,대로변,11,,
211,라인,11,,
212,매너,11,,
213,서울아동병원,11,,
214,센타,11,,
215,시내,11,,
216,심각,11,,
217,아이,11,,
218,언제,11,,
