,place1,Freq
1,스타필드,2165
2,주차,1886
3,북면,1733
4,불법주차,1529
5,주차단속,1285
6,버스,1234
7,공원,945
8,아파트,776
9,주차장,664
10,공사,590
11,진해구,503
12,차량,490
13,인도,479
14,도로,446
15,소음,434
16,가로등,424
17,송전탑,418
18,안전,382
19,쓰레기,379
20,자전거,341
21,공무원,336
22,보수,334
23,화장실,332
24,시청,329
25,시내,326
26,주택,316
27,유니시티,307
28,의창구,307
29,장애인,302
30,횡단보도,302
31,공론화,299
32,덕산건설,299
33,입주,293
34,상가,291
35,마산,287
36,정류장,281
37,신호등,274
38,마산합포구,273
39,위험,263
40,하자보수,261
41,용지동,257
42,교통,243
43,정비,243
44,시설,229
45,성주동,227
46,흡연,215
47,분양,214
48,어린이,214
49,사거리,211
50,상남동,209
51,보도,207
52,도서관,205
53,신고,202
54,구청,200
55,가로수,194
56,택시,190
57,사업,189
58,나무,184
59,소리,182
60,이전,182
61,초등학교,182
62,지원,181
63,제거,178
64,건립,175
65,행정,175
66,공짜,174
67,도시,173
68,마을,169
69,건설,167
70,금지,167
71,자은동,166
72,문화,163
73,사람,163
74,고발,162
75,야구장,161
76,군항제,159
77,환경,156
78,공영주차장,154
79,무단,152
80,일자리,151
81,거리,150
82,기업,150
83,하천,150
84,운영,148
85,임시,146
86,팔용동,144
87,경남,143
88,노선,143
89,불법주정차,143
90,다리,142
91,신축,140
92,교차로,139
93,도로변,139
94,내서읍,138
95,시정,138
96,통행,138
97,착공,135
98,경제,134
99,신호,134
100,지방,134
101,경화동,132
102,현수막,132
103,소상공인,130
104,방치,129
105,건물,128
106,공인,126
107,더스퀘어,125
108,대책,124
109,보도블럭,123
110,개발,122
111,놀이터,122
112,카메라,122
113,발전,121
114,촉구,121
115,과속,120
116,진동면,117
117,교체,116
118,노점상,116
119,석동,116
120,수리,116
121,위반,115
122,조성,115
123,병원,113
124,운행,113
125,공용,111
126,등산로,110
127,석전동,110
128,청소,110
129,공개,109
130,운동장,109
131,업무,108
132,입주민,108
133,광장,107
134,합성동,107
135,신도시,106
136,안민터널,106
137,야간,106
138,표지판,106
139,동읍,104
140,수거,104
141,파손,104
142,과장,103
143,지하,102
144,직원,102
145,회원,102
146,아이,101
147,마산회원구,100
148,작업,100
149,확정,100
150,생활,99
151,위원회,99
152,광역시,96
153,위치,95
154,공직,94
155,교육,94
156,CCTV,93
157,현동,93
158,계획,92
159,복지관,92
160,공청회,91
161,신세계,90
162,음식,90
163,재건축,90
164,포장,90
165,호수,90
166,가포동,89
167,피시방,89
168,건축,87
169,광고,87
170,무위도식,87
171,안상수,86
172,자은지구,86
173,통학,86
174,산책로,85
175,터널,85
176,확장,85
177,계약,84
178,중앙동,84
179,개설,83
180,버스노선,83
181,삼거리,83
182,주택조합,83
183,구름,82
184,불친절,82
185,차선,82
186,좌회전,81
187,학교,81
188,고등학교,79
189,관광,79
190,대중교통,79
191,소통,79
192,업체,79
193,골목,78
194,기사,78
195,설립,78
196,쇼핑,78
197,인근,78
198,중단,77
199,간판,75
200,발표,75
201,후문,75
202,힐스테이트,75
203,견인,74
204,공장,74
205,사파,74
206,영업,74
207,용호동,74
208,확보,74
209,덕산감계차,73
210,명칭,73
211,보행자,73
212,심각,73
213,제안,73
214,건축물,72
215,골목길,72
216,기간,72
217,생각,72
218,전용,72
219,하시,72
220,회성동,72
221,발생,71
222,복합,71
223,집앞,71
224,창출,71
225,노점,70
226,번호,70
227,시설물,70
228,어디,70
229,자동차,70
230,출근,70
231,녹지,69
232,방법,69
233,조기,69
234,해소,69
235,공사장,68
236,부지,68
237,정리,68
238,주말,68
239,중동에,68
240,해안,68
241,오토바이,67
242,현장,67
243,가음정,66
244,공단,66
245,대방,66
246,반송,66
247,복구,66
248,부영,66
249,아이들,66
250,재개발,66
251,점유,66
252,해양,66
253,cctv,65
254,건의사,65
255,번지,65
256,결정,64
257,방역,64
258,부근,64
259,예산,64
260,이상,64
261,거부,63
262,공공,63
263,공영,63
264,과태료,63
265,맞은편,63
266,불허,63
267,잡초,63
268,전기,63
269,조사,63
270,행위,63
271,보안등,62
272,아침,62
273,이동,62
274,표시,62
275,풍호동,62
276,교통사고,61
277,길고,61
278,있습니,61
279,축제,61
280,트럭,61
281,검토,60
282,무엇,60
283,반사경,60
284,벽돌공장,60
285,부실시공,60
286,스포츠,60
287,여부,60
288,용원,60
289,진해구청,60
290,체육공원,60
291,통합,60
292,남문,59
293,도시가스,59
294,동전,59
295,수변,59
296,아이존빌,59
297,주차위반,59
298,화물차,59
299,근무,58
300,부실공사,58
301,운동기구,58
302,일반,58
303,전통,58
304,냄새,57
305,대로,57
306,대원,57
307,미래,57
308,식당,57
309,아내차,57
310,악취,57
311,우선,57
312,정차,57
313,주정,57
314,지정,57
315,칭찬,57
316,고교,56
317,공간,56
318,센타,56
319,실시,56
320,양덕동,56
321,은행,56
322,청년,56
323,활용,56
324,무시,55
325,산업,55
326,입장,55
327,장천,55
328,회계,55
329,구축,54
330,냉천,54
331,대형,54
332,복지,54
333,불법건축물,54
334,사기,54
335,수영장,54
336,주민자치,54
337,맨홀,53
338,스타필드입점,53
339,스포츠센터,53
340,출입,53
341,하나,53
342,공사현장,52
343,동네,52
344,롯데마트,52
345,민의,52
346,완료,52
347,인디고,52
348,제기,52
349,확대,52
350,훼손,52
351,방안,51
352,변전소,51
353,부분,51
354,상수도,51
355,시공,51
356,안됩니,51
357,요망,51
358,운동,51
359,철회,51
360,NC,50
361,도로포장,50
362,마련,50
363,육교,50
364,의견,50
365,중심,50
366,증설,50
367,취소,50
368,통로,50
369,도로공사,49
370,버스기사,49
371,신속,49
372,연장,49
373,염원,49
374,오늘,49
375,장소,49
376,코스트,49
377,항만,49
378,행사,49
379,헬스,49
380,경상,48
381,노면,48
382,보행,48
383,시급,48
384,시행,48
385,연결,48
386,조명,48
387,존경,48
388,책임,48
389,하수구,48
390,홍보,48
391,누수,47
392,방해,47
393,소나무,47
394,승강장,47
395,시티,47
396,원안,47
397,의무,47
398,의창구청,47
399,일정,47
400,전망,47
401,화단,47
402,화장,47
403,개시,46
404,기원,46
405,바닥,46
406,안민고개,46
407,이름,46
408,터미널,46
409,하루,46
410,활성화,46
411,담배,45
412,대상,45
413,분리대,45
414,사고,45
415,사회,45
416,요금,45
417,용역,45
418,용원동,45
419,체험,45
