행정구,읍면동,위도,경도,대수,범위
의창구,북면,35.297795,128.5928722,4,100
의창구,북면,35.3010983,128.5938522,4,100
의창구,북면,35.3158346,128.5823795,3,100
의창구,북면,35.319009,128.5773027,4,100
의창구,북면,35.302378,128.593879,5,100
의창구,의창동,35.259195,128.637274,4,100
의창구,의창동,35.265062,128.617955,1,100
의창구,의창동,35.265249,128.6202629,1,100
의창구,팔용동,35.255664,128.61271,1,100
의창구,팔용동,35.2397116,128.6517572,1,100
의창구,팔용동,35.237196,128.643545,1,100
의창구,팔용동,35.253345,128.615816,1,100
의창구,팔용동,35.2363336,128.6362276,1,100
의창구,팔용동,35.253924,128.616403,1,100
의창구,팔용동,35.251808,128.60467,1,100
의창구,팔용동,35.257835,128.598406,1,100
의창구,팔용동,35.257675,128.609446,5,100
의창구,팔용동,35.246432,128.614681,3,100
의창구,명곡동,35.257761,128.633411,1,100
의창구,봉림동,35.242424,128.701107,3,100
의창구,봉림동,35.244861,128.658487,1,100
의창구,용지동,35.230526,128.681347,1,100
의창구,용지동,35.229636,128.679615,1,100
의창구,용지동,35.236115,128.67699,1,100
의창구,용지동,35.228445,128.679065,1,100
의창구,용지동,35.22897,128.681382,1,100
의창구,용지동,35.2423486,128.6977159,1,100
성산구,반송동,35.2372686,128.6699238,4,100
성산구,반송동,35.2402662,128.6625304,1,100
성산구,중앙동,35.22349,128.679537,5,100
성산구,중앙동,35.219172,128.67579,3,100
성산구,중앙동,35.221716,128.675427,5,100
성산구,중앙동,35.223385,128.676844,2,100
성산구,중앙동,35.227297,128.677617,1,100
성산구,중앙동,35.22341,128.6773161,1,100
성산구,상남동,35.222739,128.680844,5,100
성산구,상남동,35.219184,128.690932,3,100
성산구,상남동,35.219643,128.683944,5,100
성산구,상남동,35.223145,128.683051,5,100
성산구,상남동,35.221636,128.68743,4,100
성산구,상남동,35.221232,128.683044,5,100
성산구,상남동,35.22043,128.682681,5,100
성산구,상남동,35.219633,128.681966,4,100
성산구,상남동,35.222886,128.68774,4,100
성산구,상남동,35.21702,128.681596,3,100
성산구,상남동,35.220725,128.682891,5,100
성산구,상남동,35.22369,128.68469,5,100
성산구,상남동,35.2192091,128.6782429,1,100
성산구,상남동,35.2223086,128.6853993,1,100
성산구,사파동,35.221787,128.693072,3,100
성산구,사파동,35.2117748,128.7065171,3,100
성산구,사파동,35.208359,128.707409,3,100
성산구,사파동,35.20722,128.708446,4,100
성산구,가음정동,35.2089918,128.6882658,1,100
성산구,가음정동,35.206284,128.702644,3,100
성산구,가음정동,35.21416,128.700802,4,100
성산구,성주동,35.189656,128.694906,4,100
성산구,웅남동,35.207666,128.626656,3,100
성산구,웅남동,35.201392,128.62867,4,100
마산회원구,내서읍,35.2319885,128.5004624,1,100
마산회원구,내서읍,35.2616384,128.5215077,1,100
마산회원구,내서읍,35.2427589,128.5030538,1,100
마산회원구,내서읍,35.2323749,128.5022699,2,100
마산회원구,내서읍,35.231764,128.5035638,1,100
마산회원구,내서읍,35.2354263,128.5029158,5,100
마산회원구,회원1동,35.2187089,128.5746328,1,100
마산회원구,회원1동,35.221824,128.5704943,2,100
마산회원구,회원1동,35.2173386,128.5699004,2,100
마산회원구,석전동,35.2289258,128.5752731,4,100
마산회원구,석전동,35.2316482,128.5659929,4,100
마산회원구,석전동,35.2301837,128.5756708,1,100
마산회원구,석전동,35.2339876,128.57926,1,100
마산회원구,석전동,35.2357066,128.5798837,1,100
마산회원구,석전동,35.2339876,128.57926,4,100
마산회원구,석전동,35.2321823,128.5759725,2,100
마산회원구,석전동,35.2293287,128.5766311,3,100
마산회원구,석전동,35.2314998,128.5793684,2,100
마산회원구,석전동,35.2256905,128.5730307,4,100
마산회원구,양덕2동,35.2342264,128.5800842,4,100
마산회원구,양덕2동,35.2299138,128.584499,1,100
마산회원구,양덕2동,35.230476,128.5828848,6,100
마산회원구,양덕2동,35.2270955,128.587297,4,100
마산회원구,합성1동,35.2391541,128.5820112,2,100
마산회원구,합성1동,35.2391541,128.5820112,3,100
마산회원구,합성1동,35.250683,128.5742307,4,100
마산회원구,합성2동,35.239791,128.584375,4,100
마산회원구,합성2동,35.2421089,128.5897527,4,100
마산회원구,합성2동,35.2379566,128.5826668,4,100
마산회원구,합성2동,35.2432029,128.5852991,3,100
마산회원구,구암1동,35.2477065,128.5862596,4,100
마산회원구,봉암동,35.2190662,128.5983362,1,100
마산회원구,봉암동,35.220285,128.5967958,2,100
