parking_ID,parking_name,parking_adr,parking_lat,parking_lng,parking_area,parking_pay,parking_time ,C,D,floating_people,land_grade,ppi,ppg,ppr
417-1-000001,마산역공영주차장,경상남도 창원시 마산회원구 석전동 267,35.234583,128.579395,147,기본 30분 500원 / 추가 10분당 200원,8시~24시,10,4743,5686.650238,1,2.241234236,F,5
417-1-000002,산호천공영주차장,경상남도 창원시 마산회원구 산호천서길 234 일원,35.222183,128.589301,123,기본 30분 500원 / 추가 10분당 200원,8시~24시,0,851,6009.410952,1,109.0955054,C,3
415-1-000032,반월로 노상주차장,경상남도 창원시 성산구 신촌동 190,35.210728,128.62964,,무료,24시간,0,0,1360.045952,1,187.9748703,A,1
415-1-000003,외동반림동 74번길 노상주차장,경상남도 창원시 성산구 외동반림로74번길,35.226406,128.673552,86,무료,24시간,0,371,357.3247619,1,182.0028347,A,1
415-1-000016,가양로 노상주차장,경상남도 창원시 성산구 가음동 502-3,35.208822,128.699654,81,무료,24시간,0,839,2458.285833,1,174.1007768,A,1
415-1-000015,원이대로 883번길 노상주차장,경상남도 창원시 성산구 원이대로883번길,35.20684,128.69675,30,무료,24시간,0,2063,1288.662976,1,180.4393367,A,1
415-1-000014,가음로 13번길 노상주차장,경상남도 창원시 성산구 남양동 503-1,35.211986,128.699686,178,무료,24시간,0,961,1899.649643,1,161.4805446,A,1
415-1-000013,가양로(개나리 4차아파트 옆) 노상주차장,경상남도 창원시 성산구 남양동 504,35.208744,128.703626,104,무료,24시간,0,3178,1770.557381,1,163.8853862,A,1
415-1-000012,비음로 노상주차장,경상남도 창원시 성산구 대방동 263,35.216667,128.710714,36,무료,24시간,0,17,31.84523809,1,191.6283485,A,1
415-1-000011,가양로 136번길 노상주차장,경상남도 창원시 성산구 가양로136번길,35.208375,128.708254,34,무료,24시간,7,3983,4652.331548,1,99.01461275,C,3
415-1-000010,토월로 노상주차장,경상남도 창원시 성산구 상남동 98-4,35.2175,128.682602,24,무료,24시간,3,10526,780.4825,1,123.1302504,B,2
415-1-000009,외동반림로 노상주차장,경상남도 창원시 성산구 중앙동 507-7,35.223887,128.67632,10,무료,24시간,3,7777,1657.880714,1,133.0385681,B,2
415-1-000008,남면로 노상주차장,경상남도 창원시 성산구 가음정동 390,35.205552,128.680357,330,무료,24시간,0,19,266.8697619,1,148.5777031,B,2
415-1-000007,성산패총로(성산패총입구) 노상주차장,경상남도 창원시 성산구 외동 854,35.208117,128.675991,86,무료,24시간,0,1,954.0470236,1,181.5176501,A,1
415-1-000006,삼동로 128번길(월드메르디앙 옆) 노상주차장,경상남도 창원시 성산구 삼동로128번길,35.224637,128.656821,67,무료,24시간,0,21,5237.365714,1,170.3207763,A,1
415-1-000005,삼동로 128번길(효성사원아파트 옆) 노상주차장,경상남도 창원시 성산구 삼동로128번길,35.221075,128.663065,67,무료,24시간,0,103,1333.257024,1,182.6257165,A,1
415-1-000004,연덕로 184번길 노상주차장,경상남도 창원시 성산구 연덕로184번길,35.218317,128.667591,32,무료,24시간,0,430,3265.564405,1,180.1340904,A,1
415-1-000017,가음정로 노상주차장,경상남도 창원시 성산구 가음동 511,35.202556,128.700443,79,무료,24시간,0,611,1168.012143,1,179.4510084,A,1
415-1-000031,반월로 67번길 노상주차장,경상남도 창원시 성산구 반월로67번길,35.20718,128.638797,135,무료,24시간,0,0,542.9384524,1,175.803857,A,1
415-1-000030,월림로 노상주차장,경상남도 창원시 성산구 신촌동 190,35.210728,128.62964,131,무료,24시간,0,0,1360.045952,1,173.7367787,A,1
415-1-000029,월림로 67번길 노상주차장,경상남도 창원시 성산구 월림로67번길,35.207558,128.640177,58,무료,24시간,0,0,1234.49,1,184.6415952,A,1
415-1-000028,월림로 65번길 노상주차장,경상남도 창원시 성산구 월림로65번길,35.211132,128.64207,213,무료,24시간,0,0,156.2104762,1,165.836564,A,1
415-1-000027,공단로 166번길 노상주차장,경상남도 창원시 성산구 공단로166번길,35.211735,128.644228,69,무료,24시간,0,0,377.1321428,1,185.8321009,A,1
415-1-000026,공단로 271번길 노상주차장,경상남도 창원시 성산구 공단로271번길,35.215415,128.654738,145,무료,24시간,0,27,58.44285714,1,175.8270145,A,1
415-1-000025,연덕로 15번길 노상주차장,경상남도 창원시 성산구 연덕로15번길,35.207709,128.653722,154,무료,24시간,0,24,1609.037262,1,169.5300569,A,1
415-1-000024,연덕로(강림중공업 옆) 노상주차장,경상남도 창원시 성산구 웅남동 69,35.209829,128.658232,106,무료,24시간,0,337,474.0358333,1,178.8817703,A,1
415-1-000023,완암로(테크노파크 옆) 노상주차장,경상남도 창원시 성산구 웅남동 514,35.204153,128.660401,95,무료,24시간,0,105,103.5129762,1,182.5677083,A,1
415-1-000022,완암로(윤성정밀 옆) 노상주차장,경상남도 창원시 성산구 웅남동 69,35.209829,128.658232,82,무료,24시간,0,337,474.0358333,1,182.3334289,A,1
415-1-000001,창원천로 노상주차장,경상남도 창원시 성산구 반지동 512-4,35.245075,128.671016,76,무료,24시간,0,1542,4918.810238,1,164.1185198,A,1
415-1-000021,공단로 474번길 노상주차장,경상남도 창원시 성산구 공단로474번길,35.200634,128.674117,53,무료,24시간,0,119,1422.765833,1,184.2872668,A,1
415-1-000020,공단로 473번길 노상주차장,경상남도 창원시 성산구 공단로473번길,35.200634,128.674117,187,무료,24시간,0,119,1422.765833,1,165.0155065,A,1
415-1-000019,성산패총로(한화테크 옆) 노상주차장,경상남도 창원시 성산구 성산동 518,35.200634,128.674117,106,무료,24시간,0,119,1422.765833,1,176.6648541,A,1
