단속구분,단속장소,단속건수,lat,lon
PDA단속,창원시 성산구 가음정동 LG직원생활관,170,35.2070163,128.6832886
PDA단속,창원시 성산구 가음정동 가양로58번길,1,35.20639,128.7017493
PDA단속,창원시 성산구 가음정동 가음로,2,35.2068316,128.7023361
PDA단속,창원시 성산구 가음정동 가음로66,1,35.2072541,128.7020822
PDA단속,창원시 성산구 가음정동 가음정교회,21,35.211453,128.690377
PDA단속,창원시 성산구 가음정동 가음정로,144,35.2061871,128.69576
PDA단속,창원시 성산구 가음정동 가음정빌딩,230,35.2073219,128.696732
PDA단속,창원시 성산구 가음정동 가음정시장,115,35.2075165,128.6983982
PDA단속,창원시 성산구 가음정동 가음정시장 대상가,72,35.208072,128.6968428
PDA단속,창원시 성산구 가음정동 가음정시장주차장,332,35.2082942,128.6977872
PDA단속,창원시 성산구 가음정동 가음정종합상가,141,35.2138254,128.6953575
PDA단속,창원시 성산구 가음정동 구남산교,260,35.2035861,128.7006319
PDA단속,창원시 성산구 가음정동 금영자동차정비,319,35.2072541,128.7020822
PDA단속,창원시 성산구 가음정동 기업사랑공원,429,35.2081025,128.6875753
PDA단속,창원시 성산구 가음정동 꿈의그린아파트,8,35.2085971,128.6932113
PDA단속,창원시 성산구 가음정동 남산고등학교,47,35.2035861,128.7006319
PDA단속,창원시 성산구 가음정동 남산녹지공원,40,35.2022394,128.6994538
PDA단속,창원시 성산구 가음정동 남산중학교,18,35.2044058,128.6993149
PDA단속,창원시 성산구 가음정동 남산테니스,19,35.2310342,128.6956723
PDA단속,창원시 성산구 가음정동 남양초등학교,100,35.2118257,128.6983038
PDA단속,창원시 성산구 가음정동 남정초등학교,11,35.2137208,128.6926974
PDA단속,창원시 성산구 가음정동 남창원농협농수산물,8,35.2039784,128.7031665
PDA단속,창원시 성산구 가음정동 남창원농협유통센터,72,35.2039784,128.7031665
PDA단속,창원시 성산구 가음정동 남창원농협주유소,7,35.2045615,128.7031476
PDA단속,창원시 성산구 가음정동 농협하나로마트,1,35.2077216,128.707657
PDA단속,창원시 성산구 가음정동 대동빌라,2,35.2057111,128.6952042
PDA단속,창원시 성산구 가음정동 대동타일,1,35.20735,128.7024534
PDA단속,창원시 성산구 가음정동 대방1호교,6,35.210655,128.6984259
PDA단속,창원시 성산구 가음정동 대방2호교,18,35.208933,128.6969539
PDA단속,창원시 성산구 가음정동 대방3호교,18,35.2073776,128.6956763
PDA단속,창원시 성산구 가음정동 대방동성아파트,1,35.2039615,128.7069809
PDA단속,창원시 성산구 가음정동 대방버스종점,22,35.203345,128.705007
PDA단속,창원시 성산구 가음정동 대우1차아파트,12,35.2001285,128.7001761
PDA단속,창원시 성산구 가음정동 대우2차아파트,26,35.2041279,128.6930655
PDA단속,창원시 성산구 가음정동 대우아파트,42,35.2180149,128.6795942
PDA단속,창원시 성산구 가음정동 럭키아파트,21,35.2101828,128.6933709
PDA단속,창원시 성산구 가음정동 루마썬팅,19,35.2079129,128.701486
PDA단속,창원시 성산구 가음정동 리라유치원,24,35.2097106,128.6938153
PDA단속,창원시 성산구 가음정동 문치과상가,2,35.2130736,128.7009889
PDA단속,창원시 성산구 가음정동 민원센터,22,35.2130715,128.7005368
PDA단속,창원시 성산구 가음정동 삼광정비,207,35.2033314,128.6932714
PDA단속,창원시 성산구 가음정동 삼선아파트,462,35.2079886,128.6954541
PDA단속,창원시 성산구 가음정동 상남터널,111,35.2135434,128.6855937
PDA단속,창원시 성산구 가음정동 상록아파트,32,35.2057389,128.6966485
PDA단속,창원시 성산구 가음정동 새마을금고,244,35.2100716,128.689899
PDA단속,창원시 성산구 가음정동 성원1차아파트,596,35.210856,128.701525
PDA단속,창원시 성산구 가음정동 성주초등학교,732,35.2053779,128.6979539
PDA단속,창원시 성산구 가음정동 센트럴파크아파트,6,35.2097915,128.7044001
PDA단속,창원시 성산구 가음정동 소라상가,19,35.2076046,128.6989975
PDA단속,창원시 성산구 가음정동 소라아파트,797,35.2079145,128.6871744
PDA단속,창원시 성산구 가음정동 소방서,10,35.2136859,128.692953
PDA단속,창원시 성산구 가음정동 수림꽃플라워,1,35.2109881,128.6829274
PDA단속,창원시 성산구 가음정동 습지생태공원,494,35.205661,128.6934366
PDA단속,창원시 성산구 가음정동 아람마트,5,35.2399287,128.6626507
PDA단속,창원시 성산구 가음정동 아름다운교회,105,35.2066834,128.7023701
PDA단속,창원시 성산구 가음정동 애터미,15,35.2030628,128.6940544
PDA단속,창원시 성산구 가음정동 엘지,62,35.2070163,128.6832886
PDA단속,창원시 성산구 가음정동 엘지1공장,226,35.2070163,128.6832886
PDA단속,창원시 성산구 가음정동 엘지사원생활관,11,35.2095113,128.6942208
PDA단속,창원시 성산구 가음정동 엘지자이아파트,2,35.2073221,128.6967317
PDA단속,창원시 성산구 가음정동 엘지전자,39,35.2070163,128.6832886
PDA단속,창원시 성산구 가음정동 여성가족회관,13,35.2060723,128.699176
PDA단속,창원시 성산구 가음정동 여성회관창원관,9,35.2060723,128.699176
PDA단속,창원시 성산구 가음정동 우체국,41,35.2138254,128.6953575
PDA단속,창원시 성산구 가음정동 위드파크,4,35.2097915,128.7044001
PDA단속,창원시 성산구 가음정동 은아아파트,12,35.2070165,128.6942598
PDA단속,창원시 성산구 가음정동 은정상가,34,35.2075165,128.6983982
PDA단속,창원시 성산구 가음정동 의령소바,34,35.2136859,128.692953
PDA단속,창원시 성산구 가음정동 임가네식당,125,35.2075864,128.7018303
PDA단속,창원시 성산구 가음정동 자율방범대,35,35.2050413,128.6861118
PDA단속,창원시 성산구 가음정동 자이아파트,38,35.2073221,128.6967317
PDA단속,창원시 성산구 가음정동 장미공원,30,35.2065721,128.6919267
PDA단속,창원시 성산구 가음정동 중온빌딩,30,35.2068444,128.701378
PDA단속,창원시 성산구 가음정동 창남상가,1,35.2050413,128.6861118
PDA단속,창원시 성산구 가음정동 창원시여성회관창원,26,35.2060723,128.699176
PDA단속,창원시 성산구 가음정동 창원자이아파트,10,35.2073221,128.6967317
PDA단속,창원시 성산구 가음정동 창원제일교회,15,35.2035726,128.7039256
PDA단속,창원시 성산구 가음정동 창원천광학교,12,35.2107938,128.692982
PDA단속,창원시 성산구 가음정동 천광학교,22,35.2107938,128.692982
PDA단속,창원시 성산구 가음정동 청실아파트,18,35.2087941,128.6964817
PDA단속,창원시 성산구 가음정동 킹마트,13,35.2067111,128.7004536
PDA단속,창원시 성산구 가음정동 테니스장,40,35.2310342,128.6956723
PDA단속,창원시 성산구 가음정동 파출소,23,35.2084053,128.697565
PDA단속,창원시 성산구 가음정동 포스코건설현장,275,35.2186868,128.6749505
PDA단속,창원시 성산구 가음정동 피오르빌아파트,1,35.2094608,128.7018979
PDA단속,창원시 성산구 가음정동 한림풀에버,9,35.2126752,128.6885675
PDA단속,창원시 성산구 가음정동 한림풀에버 아파트,292,35.2055234,128.699739
PDA단속,창원시 성산구 가음정동 한양상가,187,35.2050413,128.6861118
PDA단속,창원시 성산구 가음정동 한양아파트,23,35.2014339,128.6978707
PDA단속,창원시 성산구 가음정동 현대위아,13,35.203128,128.6877327
PDA단속,창원시 성산구 가음정동 형진아파트,15,35.2070165,128.6942598
PDA단속,창원시 성산구 남산동 iMC,5,35.1994475,128.6944979
PDA단속,창원시 성산구 남산동 금아스틸,5,35.1944069,128.694399
PDA단속,창원시 성산구 남산동 남경상가,297,35.2075165,128.6983982
PDA단속,창원시 성산구 남산동 남산고등학교,229,35.203059,128.699832
PDA단속,창원시 성산구 남산동 남산버스정류소,355,35.202274,128.696959
PDA단속,창원시 성산구 남산동 다이파워,8,35.1994475,128.6944979
PDA단속,창원시 성산구 남산동 대우1차아파트,48,35.2001285,128.7001761
PDA단속,창원시 성산구 남산동 대우2차아파트,866,35.2041279,128.6930655
PDA단속,창원시 성산구 남산동 대우상가,400,35.2008506,128.6979262
PDA단속,창원시 성산구 남산동 대우아파트,31,35.2001285,128.7001761
PDA단속,창원시 성산구 남산동 동양산업,19,35.2064885,128.67965
PDA단속,창원시 성산구 남산동 두산공작기계,13,35.2004712,128.694838
PDA단속,창원시 성산구 남산동 두산아파트,68,35.2026004,128.6958153
PDA단속,창원시 성산구 남산동 두산인프라코어,23,35.2004712,128.694838
PDA단속,창원시 성산구 남산동 두산중공업 아파트,10,35.2026004,128.6958153
PDA단속,창원시 성산구 남산동 삼우금속공업,23,35.1919628,128.6955378
PDA단속,창원시 성산구 남산동 성산구청,1,35.1984343,128.7027314
PDA단속,창원시 성산구 남산동 세복,3,35.1938792,128.692788
PDA단속,창원시 성산구 남산동 신진,17,35.1943236,128.6970932
PDA단속,창원시 성산구 남산동 신화,20,35.1996286,128.6983985
PDA단속,창원시 성산구 남산동 신화정공,7,35.2195989,128.6604344
PDA단속,창원시 성산구 남산동 쌍용자동차,2,35.2248121,128.6798389
PDA단속,창원시 성산구 남산동 쌍용자동차아파트,193,35.2041279,128.6930655
PDA단속,창원시 성산구 남산동 아셈,105,35.1935324,128.6955985
PDA단속,창원시 성산구 남산동 안민교,1,35.1911017,128.6952323
PDA단속,창원시 성산구 남산동 영신정비,39,35.2033314,128.6932714
PDA단속,창원시 성산구 남산동 위아,133,35.2041289,128.6911136
PDA단속,창원시 성산구 남산동 창남상가,131,35.1567446,128.6885394
PDA단속,창원시 성산구 남산동 한양상가,4,35.2026192,128.6958066
PDA단속,창원시 성산구 남산동 한양아파트,17,35.2014339,128.6978707
PDA단속,창원시 성산구 남산동 한화테크윈,1,35.1951218,128.6968068
PDA단속,창원시 성산구 남산동 해성디에스,66,35.198558,128.687962
PDA단속,창원시 성산구 남산동 현대위아,31,35.203128,128.6877327
PDA단속,창원시 성산구 남양동 가음로,35,35.2068316,128.7023361
PDA단속,창원시 성산구 남양동 가음로67,25,35.2073357,128.7024596
PDA단속,창원시 성산구 남양동 가음정주민센터,34,35.2130715,128.7005368
PDA단속,창원시 성산구 남양동 가음정주민자치센터,5,35.2130715,128.7005368
PDA단속,창원시 성산구 남양동 개나리3차상가,24,35.2105718,128.7042587
PDA단속,창원시 성산구 남양동 개나리3차아파트,37,35.2105718,128.7042587
PDA단속,창원시 성산구 남양동 개나리4차아파트,368,35.2097915,128.7044001
PDA단속,창원시 성산구 남양동 개나리아파트,409,35.2097915,128.7044001
PDA단속,창원시 성산구 남양동 광천상가,4,35.2127497,128.7021317
PDA단속,창원시 성산구 남양동 남양종합상가,16,35.2130736,128.7009889
PDA단속,창원시 성산구 남양동 남양초등학교,8,35.2118257,128.6983038
PDA단속,창원시 성산구 남양동 남창원농협유통센터,29,35.2039784,128.7031665
PDA단속,창원시 성산구 남양동 농협중앙회,6,35.2122685,128.7007615
PDA단속,창원시 성산구 남양동 농협하나로마트,110,35.2135053,128.700841
PDA단속,창원시 성산구 남양동 대동타일,141,35.20735,128.7024534
PDA단속,창원시 성산구 남양동 대방1호교,191,35.210655,128.6984259
PDA단속,창원시 성산구 남양동 대방동성아파트,24,35.2039615,128.7069809
PDA단속,창원시 성산구 남양동 동성상가,24,35.219156,128.7035237
PDA단속,창원시 성산구 남양동 동성아파트,23,35.2140158,128.7035643
