"","parking_ID","parking_name","parking_adr","parking_lat","parking_lng","parking_pay","parking_time","C","D","floating_people","parking_area","remain","rpa","newdata.dansok_s","newdata.zone_s","newdata.pay_s","newdata.time_s","newdata.cctv_s","newdata.pop_s","score","ppg","ppr"
"1","417-1-000001","마산역공영주차장","경상남도 창원시 마산회원구 석전동 267",35.234583,128.579395,"기본 30분 500원 / 추가 10분당 200원","8시~24시",10,4743,5686.650238,147,6,0.0408163265306122,-1.30376822566354,-1.26864656605451,-2.28327466967904,-1.17416175528883,-8.59834985022385,-1.14767550946837,2.24123423621859,"F",5
"2","417-1-000002","산호천공영주차장","경상남도 창원시 마산회원구 산호천서길 234 일원",35.222183,128.589301,"기본 30분 500원 / 추가 10분당 200원","8시~24시",0,851,6009.41095228571,123,13,0.105691056910569,0.215679389868541,-0.923480711263374,-2.28327466967904,-1.17416175528883,0.326837859803831,-1.25204957003204,109.095505434091,"D",4
"3","415-1-000032","반월로 노상주차장","경상남도 창원시 성산구 신촌동 190",35.210728,128.62964,"무료","24시간",0,0,1360.04595214286,32,0,0,0.547912154724091,0.385273154819684,0.436733745542635,0.84927233756328,0.326837859803831,0.251457773423539,187.974870258771,"B",2
"4","415-1-000003","외동반림동 74번길 노상주차장","경상남도 창원시 성산구 외동반림로74번길",35.226406,128.673552,"무료","24시간",0,371,357.324761871429,86,3,0.0348837209302326,0.403072723747112,-0.391350018460372,0.436733745542635,0.84927233756328,0.326837859803831,0.575716822339958,182.002834705364,"B",2
"5","415-1-000016","가양로 노상주차장","경상남도 창원시 성산구 가음동 502-3",35.208822,128.699654,"무료","24시간",0,839,2458.28583342857,81,NA,NA,0.220364223215505,-0.319440465378886,0.436733745542635,0.84927233756328,0.326837859803831,-0.103690021240489,174.100776795059,"B",2
"6","415-1-000015","원이대로 883번길 노상주차장","경상남도 창원시 성산구 원이대로883번길",35.20684,128.69675,"무료","24시간",0,2063,1288.66297642857,30,1,0.0333333333333333,-0.257488778174852,0.414036976052278,0.436733745542635,0.84927233756328,0.326837859803831,0.274541533932951,180.439336747201,"B",2
"7","415-1-000014","가음로 13번길 노상주차장","경상남도 창원시 성산구 남양동 503-1",35.211986,128.699686,"무료","24시간",0,961,1899.64964271429,178,0,0,0.172735084188035,-1.71448579515973,0.436733745542635,0.84927233756328,0.326837859803831,0.0769612322173861,161.480544641554,"B",2
"8","415-1-000013","가양로(개나리 4차아파트 옆) 노상주차장","경상남도 창원시 성산구 남양동 504",35.208744,128.703626,"무료","24시간",0,3178,1770.55738071429,104,4,0.0384615384615385,-0.692787876663617,-0.650224409553725,0.436733745542635,0.84927233756328,0.326837859803831,0.118706968225277,163.885386249177,"B",2
"9","415-1-000012","비음로 노상주차장","경상남도 창원시 성산구 대방동 263",35.216667,128.710714,"무료","24시간",0,17,31.8452380942857,36,NA,NA,0.541275307482559,0.327745512354494,0.436733745542635,0.84927233756328,0.326837859803831,0.680970088996442,191.628348517432,"B",2
"10","415-1-000011","가양로 136번길 노상주차장","경상남도 창원시 성산구 가양로136번길",35.208375,128.708254,"무료","24시간",7,3983,4652.33154771429,34,0,0,-1.00706211368914,0.356509333587089,0.436733745542635,0.84927233756328,-5.92079353721555,-0.813198490290447,99.0146127549787,"D",4
